"Biomass","Biomass_s","BiomassClupeids","BiomassClupeids_s","BiomassFinfish","BiomassFinfish_s","BiomassFlatfish","BiomassFlatfish_s","BiomassForage","BiomassForage_s","BiomassGadoids","BiomassGadoids_s","BiomassGroundfish","BiomassGroundfish_s","BiomassSkates","BiomassSkates_s","BiomassTL3","BiomassTL3_s","BiomassTL4","BiomassTL4_s","BPelagicToDemersal","BPelagicToDemersal_s","BTGLargeBenthivore","BTGLargeBenthivore_s","BTGMediumBenthivore","BTGMediumBenthivore_s","BTGPiscivore","BTGPiscivore_s","BTGPlanktivore","BTGPlanktivore_s","BTGZoopiscivore","BTGZoopiscivore_s","CCLargeBenthivore","CCLargeBenthivore_s","CCMediumBenthivore","CCMediumBenthivore_s","CCPiscivore","CCPiscivore_s","CCPlanktivore","CCPlanktivore_s","CCZoopiscivore","CCZoopiscivore_s","CommunityCondition","CommunityCondition_s","DiversityTargetSpp.L","DiversityTargetSpp.L_s","FishinginBalance.L","FishinginBalance.L_s","FishingPressure.L","FishingPressure.L_s","FPClupeids.L","FPClupeids.L_s","FPFinfish.L","FPFinfish.L_s","FPFlatfish.L","FPFlatfish.L_s","FPForageFish.L","FPForageFish.L_s","FPGadoids.L","FPGadoids.L_s","FPGroundfish.L","FPGroundfish.L_s","FPSkates.L","FPSkates.L_s","Heips","Heips_s","HillN1Diversity","HillN1Diversity_s","HillN2Dominance","HillN2Dominance_s","ID","Intrinsicvulnerabilityindex.L","Intrinsicvulnerabilityindex.L_s","InverseCVBiomass","InverseCVBiomass_s","KemptonQ","KemptonQ_s","Landings.L","Landings.L_s","LargeFishIndicator","LargeFishIndicator_s","LargeSpeciesIndicator","LargeSpeciesIndicator_s","LClupeids.L","LClupeids.L_s","LFinfish.L","LFinfish.L_s","LFlatfish.L","LFlatfish.L_s","LForageFish.L","LForageFish.L_s","LGadoids.L","LGadoids.L_s","LGroundfish.L","LGroundfish.L_s","LInvertebrates.L","LInvertebrates.L_s","LLargePelagic.L","LLargePelagic.L_s","LSkates.L","LSkates.L_s","MargalefGroundfish","MargalefGroundfish_s","MargalefRichness","MargalefRichness_s","MarineTrophicIndex.L","MarineTrophicIndex.L_s","MeanLengthAbundance","MeanLengthAbundance_s","MeanLengthBiomass","MeanLengthBiomass_s","MeanLifespan","MeanLifespan_s","MeanTrophicLevel","MeanTrophicLevel.L","MeanTrophicLevel.L_s","MeanTrophicLevel_s","MMLengthAbundance","MMLengthAbundance_s","MMLengthBiomass","MMLengthBiomass_s","PielouEvenness","PielouEvenness_s","PropPredatoryFish","PropPredatoryFish_s","ShannonDiversity","ShannonDiversity_s","SpeciesRichness","SpeciesRichness_s","YEAR"
3774675026,-0.0803170595898334,1626374516,-0.12374658801727,3640901400,-0.14008592920845,268203686.4,0.803158841572536,2165003118,-0.0935355560976592,434091613.7,-0.629552676512867,871386264.5,-0.590292705797854,79267301.23,1.49964929632597,3229707280,-0.0281099880637299,413490831.1,-0.693940271309031,2.654381025,0.07324039540266,24936492.25,1.07133198135435,362476190.4,-0.279034307821351,411293318.4,-0.207878586405432,2312991166,-0.0585368303684425,526133900.4,-0.117076346842037,0.792299662,-0.884474246308254,0.799510715,-0.933576424347551,0.89909021,0.0997907159551267,0.925801722,0.368248765966935,1.364407095,0.876292534532207,0.968039423,0.347864813325333,37,-1.39431177098811,0.23991251,1.51278407354959,0.000176641,1.34362812115554,0.000151576,1.31086473976835,0.000179279,1.42575404808226,7.64e-05,0.885405475497506,0.000115981,1.19485555778988,0.000744479,2.0228242221145,0.000406683,1.92661680698508,4.93e-05,0.235781837695023,0.067279131,0.573409624304811,4.834910464,-0.472018002822739,3.255962431,-0.033677640529843,"SHELF",50.91995268,-1.58344081051693,5.482556714,0.00588106708873613,8.062673751,-0.147564748649897,666758,2.16542885079632,0.196380494,-0.257366797376975,0.075882066,-0.571508043904834,246520,2.92874056106036,652735,2.07256782592627,20479,1.07660658324828,251099,2.84794278912004,323172,1.83506393418142,354373,1.71305115593626,14023,-1.29677304761063,1393,0.142539634843105,3910,0.485819212425799,1.600021493,-0.907881070456496,2.364291848,-0.838393685339159,4.033751367,0.862618510152206,26.12270886,1.61330461041532,34.23083556,0.740729126688028,23.86590538,0.291908089267871,3.822472083,3.989514872,1.23944965917648,-0.0494921321412479,33.32976982,-0.162133442102157,43.1631049,-0.273122419056881,0.388101152,0.193755129014847,0.233420176,-0.5296544204799,1.57586261,-0.36018106415498,58,-0.832712967927677,1970
2926295255,-0.859250348003003,1329292935,-0.476992381876653,2889630628,-0.836404759196566,248564837.5,0.447871289271078,1547312134,-0.639502946483795,338273097.8,-1.0749757559995,822539905.3,-0.809082967487497,51119425.72,0.414131891927333,2492255306,-0.712950304985071,412900670.5,-0.696800399742652,1.908651029,-0.432863927780182,11282777.22,-0.173224420940312,348131151,-0.428950371710881,442787628.3,-0.00816656756982406,1569969697,-0.715413994533116,514185656.7,-0.156291172755164,0.829994989,-0.405595008854737,0.835955133,-0.122206522672593,0.854926859,-0.429086740027792,1.091865748,0.923741535242249,1.4989288,1.44971266348425,1.128862993,0.925177753979105,35,-1.66436794557949,0.110670285,1.37937198012236,0.000215191,2.01314928036306,0.000129299,0.876387043561052,0.000212745,1.9454717173516,0.000153095,3.18745723223573,0.000115421,1.18136832698314,0.000829883,2.3679552512379,0.000433454,2.12576638266554,0.000345583,5.01333069145874,0.041381966,-0.474311190417745,3.441536013,-1.17111641373934,1.885165053,-1.18194972034598,"SHELF",50.72902507,-1.82319531957802,5.284375255,-0.0804683240242403,7.04866874,-0.906447734814594,629415,1.91788512963146,0.251005404,0.303291032272206,0.129971602,0.499304145841709,171876,1.26055701413205,614749,1.85747213970488,38054,3.05759250848801,178593,1.30782633628615,280727,1.44177625724218,356533,1.73066603519956,14666,-1.27558357242866,149,-1.76070453805691,17666,3.81566984454529,1.565869658,-1.08416902001732,2.476572786,-0.788302691629807,4.020035659,0.566016532865471,21.72797887,-0.138093483986468,34.37754158,0.784734052206163,27.2212312,1.61094473085498,3.846048398,3.958416833,1.11315175689983,0.529996037423173,37.00855726,0.705733069040932,46.83660926,0.476854962325998,0.301859765,-1.07625669980321,0.289873503,0.00780928268123048,1.235917887,-1.36713655902007,60,-0.797311122710789,1971
3341847337,-0.477714435898848,1420616497,-0.368403811531201,3335450628,-0.423194406344849,235948490.6,0.219628227169456,2132689688,-0.122096890985988,293435353.6,-1.28340902081484,656930945.1,-1.55087065307426,69753187.91,1.13273934631529,3049162711,-0.195774058690229,290604798.7,-1.2894897460827,3.273638615,0.493511733747467,15513541.18,0.212415997176391,285918603.7,-1.07911660379228,311556643.6,-0.840329741534839,2150553061,-0.202142212199857,568695764.9,0.0226141506748147,0.879521471,0.22358653223961,0.788637899,-1.17564026108792,0.940227307,0.592427318822571,1.041211374,0.754300030258096,1.411462852,1.07687517096903,1.066176543,0.700150422545997,34,-1.79939603287518,0.146940145,1.41681205012202,0.000179607,1.3951404365436,0.000138975,1.06510213933256,0.00017663,1.3846158150728,0.000112461,1.96780052601889,9.53e-05,0.696767307228991,0.000949163,2.84998453738186,0.000490697,2.55159728777469,7.55e-05,0.658255553597082,0.037811784,-0.618749934726158,3.1930835,-1.29577260856327,2.41318996,-0.739640544762182,"SHELF",51.21064167,-1.2184124309813,5.962899564,0.215170638536344,6.956374468,-0.975520916881203,600214,1.7243140667352,0.171351449,-0.514259303888961,0.072618505,-0.636116860308461,197430,1.83165130648249,589134,1.71242722835435,26535,1.75921544602221,203311,1.83286700162624,278518,1.42130806361846,322354,1.45193503596799,11080,-1.39375691302358,36,-1.93358765022548,5265,0.813817729910672,1.620011996,-0.804692331562687,2.355782884,-0.842189721156006,4.041739719,1.03536650088389,21.93856567,-0.0541699389528928,29.63226439,-0.638626552279331,22.82005067,-0.119235495073058,3.799140057,3.994799601,1.2609124333019,-0.622975861000893,30.67819096,-0.78767012552874,40.41147358,-0.834891522797571,0.284727505,-1.32855056486346,0.198789381,-0.859356783710219,1.160987064,-1.58909030281922,59,-0.815012045319233,1972
4245944373,0.352375226029312,2003468400,0.324638087884592,3632937140,-0.14746764085172,240581971.7,0.303452801972007,2112746969,-0.13972394809329,556444276.7,-0.0607826488730399,993480758.1,-0.0434129251322668,101432232.6,2.35443561086997,3084869150,-0.162615005812173,557006446,0.0015875067976303,2.13882079,-0.276654694233324,6667237.034,-0.593937763493104,317716537.5,-0.746805137633751,550754985.7,0.67647707069893,2124876411,-0.224841966838103,624633551.7,0.206205197727831,0.917330586,0.703911325813952,0.879249848,0.841673011707549,0.970947763,0.960319615218176,1.021225205,0.687445259646823,1.312457737,0.654850146752957,1.052605408,0.651433733475736,36,-1.5293398582838,0.532202661,1.81450466782961,0.000181489,1.42782626849246,8.49e-05,0.0104546813081534,0.000208976,1.88694019594253,0.000131311,2.53359589226852,8.12e-05,0.357178102987971,0.000829542,2.36657721647453,0.000524522,2.80322159756482,7.47e-05,0.645355592806179,0.045360707,-0.313343387104523,3.494838893,-1.14437273498268,1.862699517,-1.20076836426879,"SHELF",50.5138602,-2.09338540771687,5.629739428,0.0700098599656483,8.196117476,-0.0476952495701333,770592,2.85373602331679,0.31973046,1.00866959929371,0.094177053,-0.209321629681304,170156,1.22211754544446,759196,2.6754031297439,31591,2.32910818218221,171630,1.15992366807825,461594,3.11765709750535,521103,3.07274042425538,11396,-1.38334342288749,503,-1.2191061158651,7573,1.37250450360446,1.459761874,-1.63188552408811,2.291563717,-0.870839302710239,4.095376886,2.19526942301227,24.94496868,1.14394883391802,32.59312305,0.249492182064556,24.63141428,0.592842884494716,3.871063865,4.053598611,1.49971178714359,1.14485748555996,36.45135718,0.574283427732422,45.03863105,0.109782309737863,0.310851666,-0.9438397590418,0.2386895,-0.479487839683062,1.251287278,-1.32161064944394,56,-0.868114813144566,1973
2897676273,-0.885526643740254,1540517690,-0.225834918625074,2888435627,-0.83751235146445,390952342.2,3.02381187931122,1677833882,-0.52413681683312,424669088.5,-0.673354337931882,995319154.5,-0.0351784684392223,79698862.94,1.51629239065508,2524884226,-0.68264921325106,372016618.4,-0.894939075711284,1.694775529,-0.578014740746664,15246929.64,0.188113959357118,524841036.4,1.41779607009659,350232670.1,-0.595076952780942,1687169245,-0.611802309079083,300809899.7,-0.856602731083744,0.815187066,-0.593713999691728,0.849112085,0.170709524184902,0.888030586,-0.0326536224567761,1.16972741,1.18419282795485,1.279015476,0.512297198772794,1.126745579,0.917576812755617,36,-1.5293398582838,0.092836508,1.36096281451658,0.000205755,1.84926856289789,0.000130219,0.894330190327255,0.000203487,1.80169755306261,7.52e-05,0.849386672341031,0.000130062,1.5339871595571,0.000556369,1.26264205396779,0.000301209,1.14199530067894,0.000114205,1.28237178161193,0.052003111,-0.044611851023398,5.00423958,-0.387060426750811,2.377846273,-0.769246794111064,"SHELF",50.78926241,-1.74755317500372,4.386696533,-0.471594776775678,7.796336761,-0.346891781657347,596077,1.69689022894876,0.22310556,0.0169332884408532,0.084808083,-0.394799413801502,200604,1.90258553532808,587689,1.7042449173295,29388,2.08079455525174,218222,2.14959494728875,236261,1.02976236060464,299793,1.2679492530702,8388,-1.48246930367654,1119,-0.276663663689534,9102,1.74262238791027,1.979780124,1.0523904753335,3.234968197,-0.449965833759932,4.006690306,0.277423476831497,24.40911679,0.930399882978354,32.8525638,0.327312239347272,23.19699341,0.0289472187714789,3.816479871,3.974306446,1.17768395424796,-0.196776216338548,37.10418347,0.728292346139729,44.99830546,0.101549495120782,0.369610532,-0.0785422787504033,0.346808899,0.549862522078537,1.610285469,-0.258216583832642,78,-0.478694515758794,1974
2908818058,-0.875296900498483,1297147133,-0.515215449454634,2883163542,-0.84239880811313,321432955.3,1.76613262657259,1320911248,-0.839615145159709,303468075.1,-1.23677079370198,822015095.2,-0.811433671634068,124371425.5,3.2390811723782,2651244035,-0.565304227146677,255869735.5,-1.45782823208455,1.764981108,-0.530368344284084,18883203.09,0.519565684601716,410903789.6,0.227069220600032,367625094,-0.484787948178441,1450841114,-0.820731066834288,630025262,0.223901102339193,0.881327862,0.246534818233333,0.869124772,0.616256271108992,1.024207689,1.59813294982493,1.04760088,0.77567325881177,1.521502957,1.5459385923626,1.09533608,0.804825241377419,39,-1.12425559639673,0.098651293,1.36696520761743,0.000203127,1.8036264978811,0.000150108,1.28223371862402,0.000201735,1.77448948049463,7.91e-05,0.966447782599575,0.000158569,2.22055946064212,0.000792765,2.21795556107114,0.000381103,1.73632708505066,0.00014747,1.81876827624865,0.056397203,0.133159795031522,4.383832184,-0.698337717900531,2.3481967,-0.79408327060334,"SHELF",50.86646847,-1.65060281244567,4.323076222,-0.499314701459794,6.909046837,-1.01094099227704,590550,1.66025219379149,0.244303727,0.234506522021666,0.067676475,-0.733954378568798,194712,1.77090800654477,581576,1.66963006107005,25414,1.632860668088,209456,1.96339434560693,240350,1.06765029348258,313162,1.37697393865863,8974,-1.46315821120899,942,-0.547462874785436,18341,3.97906393997134,1.789147516,0.0683662908716109,2.557777643,-0.752075420522081,4.016807315,0.496203642873805,26.51624759,1.77013858732941,34.05339809,0.687506207468513,26.38724374,1.28308982871491,3.828619326,3.980877466,1.20437071870336,0.101602497954155,38.14753817,0.974431221555086,45.08161654,0.118558165723961,0.359515597,-0.227202768883167,0.292523633,0.0330398361197979,1.47792327,-0.650288690201173,61,-0.779610200102345,1975
2317468294,-1.41824008705269,1025013313,-0.838797029161814,2116242580,-1.55322308992507,313620670.8,1.62480013544641,1166028725,-0.976513382448422,339673365.6,-1.06846645464241,760366961.9,-1.08756502386359,61652149.83,0.820324371110076,2019782835,-1.15171541537075,297545538.3,-1.2558524502681,1.554158677,-0.673447131948964,10924587.31,-0.205873963189316,391138595.9,0.0205086139056967,312255015.4,-0.835901219604411,1181730911,-1.05864121394259,218975920.5,-1.12518657726914,0.874458627,0.159268457108809,0.843906045,0.0548063380531899,0.978514946,1.05094028605444,1.098437947,0.945725881344628,1.326870893,0.716288512941714,1.071331682,0.718655971549597,39,-1.12425559639673,-0.219537444,1.0385104359038,0.000201837,1.78122228788427,0.000149576,1.27185789897226,0.000213882,1.96312901102158,6.67e-05,0.594253483315997,0.000137672,1.71726899248434,0.000610866,1.48287302317459,0.000326248,1.32826052145752,0.000148867,1.84129483277976,0.093253226,1.62424279369154,5.942420995,0.0836537706476536,3.340907094,0.0374777223397604,"SHELF",50.57352373,-2.01846381652322,9.247119809,1.64613405896741,6.825500228,-1.07346740924152,467752,0.846234201889334,0.253592762,0.329847094713416,0.096730428,-0.158772387125515,153317,0.845790677287261,452626,0.939450817710671,20916,1.12586353057857,160530,0.924146041034194,207495,0.763221818377416,248068,0.846129979971143,15126,-1.26042469438246,852,-0.685157388901997,9178,1.76101935272861,1.340952044,-2.24516856783583,2.273539667,-0.878880227476712,4.011899884,0.390080521996751,26.76531505,1.86939753516331,34.30556807,0.763145374748832,21.16544178,-0.769690881669698,3.820909625,3.943930874,1.0543201941069,-0.0878961798663175,36.81429054,0.659903408244435,46.2810705,0.363436965870566,0.446759527,1.0575727541795,0.416288449,1.21134233596035,1.782116625,0.250767127390377,54,-0.903516658361454,1976
2970537833,-0.818629369111916,876648639.4,-1.01521051373432,2923118038,-0.805366796560995,364387261.5,2.54322146657101,1116353074,-1.0204209126613,717742419.2,0.689029792626314,1302938971,1.34269741126309,73164455.83,1.26429423744415,2510701943,-0.695819696925687,458504582.5,-0.475787601877883,0.928590698,-1.09800113985379,17108454.55,0.357794719478526,755870736.8,3.83222396811584,510990886.6,0.424324585578429,1209897008,-1.03374063341449,426397105.6,-0.444418267832086,0.973148303,1.41301634971668,0.944725471,2.29937086259974,0.99177989,1.20979439647907,1.058084953,0.810743026083669,1.67195297,2.18725566350213,1.095558226,0.805622685188139,40,-0.98922750910104,-0.623555325,0.621457330494601,0.000116904,0.306139522255942,0.000165217,1.57691089741811,0.000114019,0.412284404368714,4.05e-05,-0.192157052267046,0.000132068,1.58230034705408,0.000182492,-0.248253849919245,0.000118962,-0.213740858561943,1.62e-05,-0.297954040028569,0.092459456,1.59212926500597,5.253134976,-0.26218202403345,2.748241503,-0.458978837714318,"SHELF",51.62143884,-0.702559989225846,8.200802883,1.19024464364476,6.185051838,-1.55278001757692,347268,0.0475555284879839,0.350585137,1.32535508658049,0.13808776,0.659979972683871,144837,0.656275157246105,333292,0.263722164534648,14760,0.431983055143243,147435,0.645992164805195,130982,0.0542662281865249,155000,0.0871570247505843,13976,-1.29832188949796,854,-0.682097510810517,1182,-0.174534998421975,1.416434654,-1.85553578399276,1.958819389,-1.01928385917334,3.970319321,-0.50909852165861,28.42807748,2.53204551535126,37.86697971,1.83140183728271,25.03972663,0.753357534861083,3.773530767,3.897819025,0.867046977335984,-1.25243303384339,38.90378016,1.15283704362161,51.56784637,1.44277754488673,0.430847128,0.823242861562248,0.456020203,1.58960836159117,1.658825037,-0.114436782561898,47,-1.02742311662056,1977
3123114898,-0.678541923560506,781014028.1,-1.12892515089018,3108594913,-0.633456687179218,194559250.1,-0.529146918651914,1680576702,-0.521712481175828,490943645.4,-0.36526965358112,839105514.9,-0.734883086088097,106312332,2.54263570547439,2790980300,-0.435537094666258,329964224,-1.09873995453187,2.030703392,-0.350030692024192,63562538.8,4.59215348843205,382404431.1,-0.0707697417451407,369055039.4,-0.475720364746213,1703974416,-0.596945493320261,588198934.6,0.0866246800666508,0.808042533,-0.684477730564829,0.850164807,0.194146500065022,0.982486118,1.09849698854811,1.433615955,2.06691368070644,1.542679533,1.63620711029941,1.39295893,1.87321044597931,39,-1.12425559639673,-0.40669118,0.84531837570453,0.000125691,0.458748664304099,0.000193514,2.12879918442165,0.000122061,0.537174426966697,7.48e-05,0.837380404622206,9.11e-05,0.595613076178475,0.000356977,0.456867545057523,0.000235179,0.650797867554253,9.52e-06,-0.405668712632605,0.061163395,0.325985479439994,4.363986733,-0.708294785254583,2.71612069,-0.485885391039295,"SHELF",51.48116617,-0.878705310117557,7.319403051,0.806211045323736,7.03079083,-0.919827591501696,392486,0.347301986555962,0.233518729,0.123811720484222,0.104141267,-0.0120597819841236,151137,0.797070885578568,379378,0.524684092487036,14553,0.408650816934161,153165,0.767704399306315,175255,0.464491821804882,197340,0.432441278457965,13108,-1.32692603328948,3759,3.7623754170629,1012,-0.215686103936682,1.628173591,-0.762563091722548,2.318795401,-0.858690650087306,4.00025364,0.138230672294221,22.94863153,0.348363874603263,33.17287518,0.423390630810086,29.69656211,2.58404014557783,3.763001289,3.938842523,1.0336549663944,-1.51123971897162,38.28172097,1.00608642327324,48.29217998,0.774022192856573,0.366026658,-0.131319286766212,0.273419308,-0.148842823530957,1.473386028,-0.663728524545749,56,-0.868114813144566,1978
2512505035,-1.23916862021486,986354847.2,-0.884764000237367,2442732721,-1.25061417519442,266157795.5,0.766146510868325,1264927627,-0.889098191300037,555847209.8,-0.0635581810836946,937148283.8,-0.295734633353299,55219085.03,0.572234464589659,2114425696,-1.06382461134996,393718476.5,-0.789764142965488,1.452667801,-0.742325910304038,7003245.063,-0.56331013263985,475845967.8,0.905762074950535,354717609.8,-0.566637010306032,1361721278,-0.89951854146983,241291237.3,-1.0519464186751,0.955381231,1.18730450243275,0.774471963,-1.49101953534204,0.902394927,0.139366297973428,1.041695093,0.75591809537029,1.045314726,-0.483889358639554,1.007232853,0.488558583073186,39,-1.12425559639673,-0.498882815,0.750152271733252,0.000140764,0.720530569174007,9.24e-05,0.156730334293507,0.000136735,0.765057564445283,5.64e-05,0.285092089556251,7.42e-05,0.188587717903777,0.000351902,0.436358669913487,0.000232006,0.627193907910081,8.29e-06,-0.425502402348618,0.067393048,0.578018360900139,5.380548148,-0.198254954026449,2.608188059,-0.576297022012226,"SHELF",51.27394212,-1.13892383154251,7.882156522,1.05140764349574,8.932776926,0.503621871290174,353632,0.0897419688246775,0.364516243,1.4683408352906,0.11196,0.142727913084541,91173,-0.543036265806796,333970,0.267561338842501,15012,0.460387519049952,93821,-0.492835015045245,195604,0.653041967594414,217424,0.596227035459831,19662,-1.11094497521388,325,-1.49143526600674,458,-0.349790294849317,1.688340495,-0.451988267922221,2.765191583,-0.659543504162673,4.046502675,1.13836535207917,24.48243345,0.959618210134763,34.96036124,0.959552616085174,22.75920993,-0.143153042776748,3.78858519,3.944076817,1.05491290976823,-0.882406588738698,38.46273583,1.04878982421049,48.25057893,0.765528982155231,0.401653682,0.393333011620233,0.401654624,1.07202105599554,1.682790255,-0.0434490415616067,66,-0.691105587060124,1979
